Cod_Matricula;Situacao_Matricula;Forma_Ingresso;Semestre_Letivo_Inicial;Desc_Curso;Modalidade;Instituicao;Desc_Disciplina;Quantidade_Reprovacoes
7293;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;3
7293;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Elementos de máquinas e resistência de materiais;3
7293;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;2
7293;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;2
7293;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia;2
7293;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Geografia;2
7293;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Tecnologia de materiais;2
7293;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Máquinas elétricas;2
7293;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;CAD - Desenho por computador;2
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Física;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Química;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Biologia;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;História;3
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Inglês;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Informática;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Fundamentos da computação;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Fundamentos matemáticos computacionais;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Montagem e manutenção de sistemas computacionais;2
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Matemática 2;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Física 2;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Química 2;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Biologia 2;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;História;1
7394;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Geografia;1
